t,X0,Vx0,Y0,Vy0,X1,Vx1,Y1,Vy1
8.28,0.1845054336113661,-0.19809245843380266,-0.061657133181035925,-1.0177794050059132,-0.1845054336113661,0.19809245843380266,0.061657133181035925,1.0177794050059132
8.4,0.16739063748549934,-0.3648792580949037,-0.12036476008263437,-0.9324359388600905,-0.16739063748549934,0.3648792580949037,0.12036476008263437,0.9324359388600905
8.52,0.1416953149156817,-0.4835547302616022,-0.1730314097317336,-0.820983365248274,-0.1416953149156817,0.4835547302616022,0.1730314097317336,0.820983365248274
8.64,0.11024973587645506,-0.5581614351630674,-0.2188243136186246,-0.7062180978503804,-0.11024973587645506,0.5581614351630674,0.2188243136186246,0.7062180978503804
8.76,0.07537217416669717,-0.5999178854230264,-0.2579596191613304,-0.6002886813774801,-0.07537217416669717,0.5999178854230264,0.2579596191613304,0.6002886813774801
8.879999999999999,0.03870002575200326,-0.619551506780731,-0.2911215193109769,-0.5073608610802702,-0.03870002575200326,0.619551506780731,0.2911215193109769,0.5073608610802702
9.0,0.0013079984147216363,-0.6249964881007769,-0.3191064387576283,-0.4275631593502347,-0.0013079984147216363,0.6249964881007769,0.3191064387576283,0.4275631593502347
9.12,-0.03612311340427866,-0.6215575815676753,-0.34266352401118905,-0.35947768045847445,0.03612311340427866,0.6215575815676753,0.34266352401118905,0.35947768045847445
9.24,-0.07317017860462832,-0.612642045803023,-0.36244223399681186,-0.30132074166237477,0.07317017860462832,0.612642045803023,0.36244223399681186,0.30132074166237477
9.36,-0.10957433646298329,-0.6004103460375277,-0.37898672442552994,-0.25140823776122145,0.10957433646298329,0.6004103460375277,0.37898672442552994,0.25140823776122145
9.48,-0.14518078158672307,-0.5862312058641873,-0.3927470991447904,-0.208298545243539,0.14518078158672307,0.5862312058641873,0.3927470991447904,0.208298545243539
9.6,-0.17990072825368117,-0.5709748453944791,-0.40409475375438203,-0.17080686660145236,0.17990072825368117,0.5709748453944791,0.40409475375438203,0.17080686660145236
9.719999999999999,-0.21368744306000534,-0.555196609207205,-0.4133370018640525,-0.13797554879586746,0.21368744306000534,0.555196609207205,0.4133370018640525,0.13797554879586746
9.84,-0.2465210512756147,-0.5392513002545045,-0.42072952078379816,-0.10903442739245121,0.2465210512756147,0.5392513002545045,0.42072952078379816,0.10903442739245121
9.959999999999999,-0.27839881633532243,-0.5233647151707811,-0.4264864561693791,-0.08336351789767392,0.27839881633532243,0.5233647151707811,0.4264864561693791,0.08336351789767392
10.08,-0.3093288564356112,-0.5076788603037179,-0.43078846010031957,-0.060461665582578865,0.3093288564356112,0.5076788603037179,0.43078846010031957,0.060461665582578865
10.2,-0.339326048762246,-0.49228083669582373,-0.4337890375028615,-0.03992141064964462,0.339326048762246,0.49228083669582373,0.4337890375028615,0.03992141064964462
